id,source_id,property_id,first_american_listing_id,first_american_property_id,listing_series_id,listing_id,address_id,apn,fips,type,sub_type,lot_square_feet,square_feet,building_style,heating_type,cooling_type,stories,year_built,roof_type,exterior_wall_type,bedrooms,bathrooms,parking_spaces,garage_type,view_features,price_per_square_foot,air_conditioning_type,interior_features,exterior_features,existing_structure_type,details,lot_features,zoning,neighborhood,school_district,elementary_school,middle_school,high_school,appliance_features,lot_acres,water_type,listing_date,days_on_market,original_listing_date,original_status,status,sub_status,rental,amount,max_amount,max_amount_date,min_amount,min_amount_date,sale_amount,sale_date,adjusted_sale_amount,adjusted_sale_amount_range,last_amount_change,last_amount_change_date,prior_amount_change,prior_amount_change_date,last_status_change,last_status_change_date,last_sub_status_change,last_sub_status_change_date,prior_status_change,prior_status_change_date,prior_sub_status_change,prior_sub_status_change_date,agent_name,agent_address,agent_phone,agent_email,office_name,office_address,office_phone,office_email,update_timestamp,ucid,batch_job_file_id,line_number,batch_file_date,current_listing,current_rental,effective_update_date,effective_end_date,effective_listing_date
127805347,4340915765,1725093997,201512252016011500232601040000000002,23045010,23260104,5011812,1169577712,02323-30-021-000,08031,RESIDENTIAL (NEC),RESIDENTIAL LOT,7405.0,,,,,,,,,,,,,,,,,,,"Amazing development opportunity on a corner lot that is within walking distance of Sloans Lake and light rail! The lot is a 7,600 sqft lot (57 ft front by 135 ft sides) zoned G-MU-3 and priced for the land value. Development opportunities in this area are going fast so don't miss out! Contact broker with any questions and offers, please do not disturb the homeowner. Owner will need to find replacement housing after a sale so a lease back option will make offer stronger. Information is reliable but not guaranteed.",,G-MU-3,SLOANS LAKE,,,,,,,,2015-07-25,21.0,2015-12-25,FAIL,FAIL,CANCEL/WITHDRAWN,,685000.0,685000.0,2015-12-28,685000.0,2015-12-28,,,,,,,,,ACTIVE,2015-12-28,,,,,,,RAMON C. BARGAS,3480 W 38TH AVE DENVER CO 80211 US,(720) 234-5134,RAMON@RAZRGOUP.COM,LUCERO REAL ESTATE,3480 W 38TH AVE DENVER CO 80211 US,(303) 458-0100,LUCEROTEAM@LUCEROREALESTATE.COM,2016-05-26,C,684567.0,5169624.0,2017-02-02,,,2015-12-28,2015-12-28,2015-07-25
227475742,7207633336,1725094048,201901102019022000556682870000000013,23045062,55668287,8703062,1137579391,02323-31-014-000,08031,"CONDOMINIUM, INCOME, INDUSTRIAL, SFR, TOWN HOUSE / DUPLEX",,3920.0,1393.0,"OTHER-RANCH/1 STORY, PAIRED/DUPLEX (1 UNIT), RANCH/1 STORY","FORCED AIR, GAS",,1.000000000000000,1910.0,"ROLLED, ROLLED ROOFING",BRICK,4.0,2.0,2.0,"CARPORT (0), GARAGE (2), GARAGE (DETACHED), GARAGE (DETACHED) (2 SPACES), UNCOVERED (0)",,445.0,NONE,"DOUBLE PANE WINDOWS, DOUBLE PANE WINDOWS REMODELED UPDATED, REMODELED, UPDATED","PORCH, YARD",FENCE,,,U-TU-C,,DENVER 1,CHELTENHAM,"LAKE INT'L, STRIVE LAKE",NORTH,"DISHWASHER, DISHWASHER DISPOSAL DRYER MICROWAVE OVEN REFRIGERATOR (KITCHEN) STOVE/RANGE/OVEN WASHER, DRYER, GARBAGE DISPOSER, MICROWAVE OVEN, REFRIGERATOR (KITCHEN), SMOKE ALARM, STOVE/RANGE/OVEN, WASHER",,PUBLIC,2019-01-10,41.0,2019-01-10,ACTIVE,ACTIVE,,,620000.0,,,,,,,,,,,,,,,,,,,,,DANELLE MORGAN,,(303) 394-4526,DANELLE@NPRECO.COM,PORCHLIGHT REAL ESTATE GROUP,,,,2019-02-20,A,1191440.0,50008.0,2019-02-21,1.0,,2019-02-21,,2019-01-10
224728930,7140020212,1725094048,201901102019012500556682870000000009,23045062,55668287,8703062,1137579391,02323-31-014-000,08031,"CONDOMINIUM, INCOME, INDUSTRIAL, SFR, TOWN HOUSE / DUPLEX",,3920.0,1393.0,"OTHER-RANCH/1 STORY, PAIRED/DUPLEX (1 UNIT), RANCH/1 STORY","FORCED AIR, GAS",,1.000000000000000,1910.0,"ROLLED, ROLLED ROOFING",BRICK,4.0,2.0,2.0,"CARPORT (0), GARAGE (2), GARAGE (DETACHED), GARAGE (DETACHED) (2 SPACES), UNCOVERED (0)",,445.0,NONE,"DOUBLE PANE WINDOWS, DOUBLE PANE WINDOWS REMODELED UPDATED, REMODELED, UPDATED","PORCH, YARD",FENCE,,,U-TU-C,,DENVER 1,CHELTENHAM,"LAKE INT'L, STRIVE LAKE",NORTH,"DISHWASHER, DISHWASHER DISPOSAL DRYER MICROWAVE OVEN REFRIGERATOR (KITCHEN) STOVE/RANGE/OVEN WASHER, DRYER, GARBAGE DISPOSER, MICROWAVE OVEN, REFRIGERATOR (KITCHEN), SMOKE ALARM, STOVE/RANGE/OVEN, WASHER",,PUBLIC,2019-01-10,26.0,2019-01-10,ACTIVE,ACTIVE,,,620000.0,620000.0,2019-01-11,620000.0,2019-01-11,,,,,,,,,,,,,,,,,DANELLE MORGAN,,(303) 394-4526,DANELLE@NPRECO.COM,PORCHLIGHT REAL ESTATE GROUP,,,,2019-02-05,C,1180087.0,65691.0,2019-02-06,1.0,,2019-02-06,,2019-01-10
226429176,7173943677,1725094048,201901102019021400556682870000000012,23045062,55668287,8703062,1137579391,02323-31-014-000,08031,"CONDOMINIUM, INCOME, INDUSTRIAL, SFR, TOWN HOUSE / DUPLEX",,3920.0,1393.0,"OTHER-RANCH/1 STORY, PAIRED/DUPLEX (1 UNIT), RANCH/1 STORY","FORCED AIR, GAS",,1.000000000000000,1910.0,"ROLLED, ROLLED ROOFING",BRICK,4.0,2.0,2.0,"CARPORT (0), GARAGE (2), GARAGE (DETACHED), GARAGE (DETACHED) (2 SPACES), UNCOVERED (0)",,427.0,NONE,"DOUBLE PANE WINDOWS, DOUBLE PANE WINDOWS REMODELED UPDATED, REMODELED, UPDATED","PORCH, YARD",FENCE,,,U-TU-C,,DENVER 1,CHELTENHAM,"LAKE INT'L, STRIVE LAKE",NORTH,"DISHWASHER, DISHWASHER DISPOSAL DRYER MICROWAVE OVEN REFRIGERATOR (KITCHEN) STOVE/RANGE/OVEN WASHER, DRYER, GARBAGE DISPOSER, MICROWAVE OVEN, REFRIGERATOR (KITCHEN), SMOKE ALARM, STOVE/RANGE/OVEN, WASHER",,PUBLIC,2019-01-10,35.0,2019-01-10,ACTIVE,ACTIVE,,,595000.0,,,,,,,,,,,,,,,,,,,,,DANELLE MORGAN,,(303) 394-4526,DANELLE@NPRECO.COM,PORCHLIGHT REAL ESTATE GROUP,,,,2019-02-14,A,1186043.0,143205.0,2019-02-15,1.0,,2019-02-15,,2019-01-10
226042916,7170721289,1725094048,201901102019021200556682870000000010,23045062,55668287,8703062,1137579391,02323-31-014-000,08031,"CONDOMINIUM, INCOME, INDUSTRIAL, SFR, TOWN HOUSE / DUPLEX",,3920.0,1393.0,"OTHER-RANCH/1 STORY, PAIRED/DUPLEX (1 UNIT), RANCH/1 STORY","FORCED AIR, GAS",,1.000000000000000,1910.0,"ROLLED, ROLLED ROOFING",BRICK,4.0,2.0,2.0,"CARPORT (0), GARAGE (2), GARAGE (DETACHED), GARAGE (DETACHED) (2 SPACES), UNCOVERED (0)",,427.0,NONE,"DOUBLE PANE WINDOWS, DOUBLE PANE WINDOWS REMODELED UPDATED, REMODELED, UPDATED","PORCH, YARD",FENCE,,,U-TU-C,,DENVER 1,CHELTENHAM,"LAKE INT'L, STRIVE LAKE",NORTH,"DISHWASHER, DISHWASHER DISPOSAL DRYER MICROWAVE OVEN REFRIGERATOR (KITCHEN) STOVE/RANGE/OVEN WASHER, DRYER, GARBAGE DISPOSER, MICROWAVE OVEN, REFRIGERATOR (KITCHEN), SMOKE ALARM, STOVE/RANGE/OVEN, WASHER",,PUBLIC,2019-01-10,33.0,2019-01-10,ACTIVE,ACTIVE,,,595000.0,,,,,,,,,,,,,,,,,,,,,DANELLE MORGAN,,(303) 394-4526,DANELLE@NPRECO.COM,PORCHLIGHT REAL ESTATE GROUP,,,,2019-02-12,A,1185783.0,36158.0,2019-02-13,1.0,,2019-02-13,,2019-01-10
228574232,7239932208,1725094048,201901102019022800556682870000000017,23045062,55668287,8703062,1137579391,02323-31-014-000,08031,"CONDOMINIUM, INCOME, INDUSTRIAL, SFR, TOWN HOUSE / DUPLEX",,3920.0,1393.0,"DUPLEX, OTHER-RANCH/1 STORY, PAIRED/DUPLEX (1 UNIT), RANCH/1 STORY","FORCED AIR, GAS",,1.000000000000000,1910.0,"ROLLED, ROLLED ROOF, ROLLED ROOFING",BRICK,4.0,2.0,2.0,"1 CAR PARKING, CARPORT (0), GARAGE (2), GARAGE (DETACHED), GARAGE (DETACHED) (2 SPACES), UNCOVERED (0)",,427.0,NONE,"DOUBLE PANE WINDOWS, DOUBLE PANE WINDOWS REMODELED UPDATED, REMODELED, UPDATED","PORCH, YARD",FENCE,,,U-TU-C,,DENVER 1,CHELTENHAM,"LAKE INT'L, STRIVE LAKE",NORTH,"DISHWASHER, DISHWASHER DISPOSAL DRYER LAUNDRY HOOK-UP MICROWAVE RANGE/OVEN REFRIGERATOR WASHER, DISHWASHER DISPOSAL DRYER MICROWAVE OVEN REFRIGERATOR (KITCHEN) STOVE/RANGE/OVEN WASHER, DRYER, GARBAGE DISPOSER, MICROWAVE OVEN, REFRIGERATOR (KITCHEN), SMOKE",,PUBLIC,2019-01-10,49.0,2019-01-10,ACTIVE,PENDING,UNDER CONTRACT,,595000.0,620000.0,2019-02-28,620000.0,2019-02-28,,,,,-25000.0,2019-02-28,,,FAIL,2019-02-28,,,ACTIVE,2019-02-28,,,DANELLE MORGAN,,(303) 394-4526,DANELLE@NPRECO.COM,PORCHLIGHT REAL ESTATE GROUP,,,,2019-02-28,A,1197300.0,48480.0,2019-03-01,1.0,,2019-03-01,,2019-01-10
226220145,7172342713,1725094048,201901102019021300556682870000000011,23045062,55668287,8703062,1137579391,02323-31-014-000,08031,"CONDOMINIUM, INCOME, INDUSTRIAL, SFR, TOWN HOUSE / DUPLEX",,3920.0,1393.0,"OTHER-RANCH/1 STORY, PAIRED/DUPLEX (1 UNIT), RANCH/1 STORY","FORCED AIR, GAS",,1.000000000000000,1910.0,"ROLLED, ROLLED ROOFING",BRICK,4.0,2.0,2.0,"CARPORT (0), GARAGE (2), GARAGE (DETACHED), GARAGE (DETACHED) (2 SPACES), UNCOVERED (0)",,427.0,NONE,"DOUBLE PANE WINDOWS, DOUBLE PANE WINDOWS REMODELED UPDATED, REMODELED, UPDATED","PORCH, YARD",FENCE,,,U-TU-C,,DENVER 1,CHELTENHAM,"LAKE INT'L, STRIVE LAKE",NORTH,"DISHWASHER, DISHWASHER DISPOSAL DRYER MICROWAVE OVEN REFRIGERATOR (KITCHEN) STOVE/RANGE/OVEN WASHER, DRYER, GARBAGE DISPOSER, MICROWAVE OVEN, REFRIGERATOR (KITCHEN), SMOKE ALARM, STOVE/RANGE/OVEN, WASHER",,PUBLIC,2019-01-10,34.0,2019-01-10,ACTIVE,ACTIVE,,,595000.0,,,,,,,,,,,,,,,,,,,,,DANELLE MORGAN,,(303) 394-4526,DANELLE@NPRECO.COM,PORCHLIGHT REAL ESTATE GROUP,838 BROADWAY DENVER CO 80203 US,(303) 733-5335,INFO@PORCHLIGHTGROUP.COM,2019-02-13,A,1185913.0,56660.0,2019-02-14,1.0,,2019-02-14,,2019-01-10
136150345,4349353889,1725094048,201406252014071800134648810000000001,23045062,13464881,,1169577680,02323-31-014-000,08031,MULTI FAMILY DWELLING,,3900.0,1392.0,,,,1,1910.0,,BRICK VENEER,2.0,,2.0,CARPORT,,158.0,,,,,"1515 King St This MultiFamily Home located at 1515 King Street, Denver CO sold on Jun 25, 2014. 1515 King St has 2 beds and approximately 1,392 square feet. The property has a lot size of 3,900 sqft and was built in 1910. The average listing price for similar homes for sale is $506,447 and the average sales price for similar recently sold homes is $441,913. 1515 King St is in the West Colfax neighborhood in Denver, CO. The average price per square foot for homes for sale in West Colfax is $263.",,,CHELTENHAM HEIGHTS,,,,,,,,1900-01-01,,,SOLD,SOLD,,,,,2014-07-18,,2014-07-18,220000.0,2014-06-25,221000.0,219800-220200,,,,,,,,,,,,,,,,,,,,,2016-05-23,A,684567.0,5176599.0,2017-02-02,,,2014-06-25,2014-06-25,2016-05-23
230278215,7303142753,1725094048,201901102019030800556682870000000019,23045062,55668287,8703062,1137579391,02323-31-014-000,08031,"CONDOMINIUM, INCOME, INDUSTRIAL, MULTI FAMILY DWELLING, SFR, TOWN HOUSE / DUPLEX",,3920.0,1393.0,"DUPLEX, OTHER-RANCH/1 STORY, PAIRED/DUPLEX (1 UNIT), RANCH/1 STORY","FORCED AIR, GAS",,1.000000000000000,1910.0,"ROLLED, ROLLED ROOF, ROLLED ROOFING",BRICK,4.0,2.0,2.0,"1 CAR PARKING, CARPORT (0), GARAGE (2), GARAGE (DETACHED), GARAGE (DETACHED) (2 SPACES), UNCOVERED (0)",,427.0,NONE,"DOUBLE PANE WINDOWS, DOUBLE PANE WINDOWS REMODELED UPDATED, REMODELED, UPDATED","PORCH, YARD",FENCE,,,U-TU-C,,DENVER 1,CHELTENHAM,"LAKE INT'L, STRIVE LAKE",NORTH,"DISHWASHER, DISHWASHER DISPOSAL DRYER LAUNDRY HOOK-UP MICROWAVE RANGE/OVEN REFRIGERATOR WASHER, DISHWASHER DISPOSAL DRYER MICROWAVE OVEN REFRIGERATOR (KITCHEN) SMOKE ALARM STOVE/RANGE/OVEN WASHER, DISHWASHER DISPOSAL DRYER MICROWAVE OVEN REFRIGERATOR (KIT",,PUBLIC,2019-01-10,57.0,2019-01-10,ACTIVE,FAIL,,,595000.0,620000.0,2019-03-08,620000.0,2019-03-08,,,,,-25000.0,2019-03-08,,,ACTIVE,2019-03-08,,,,,,,DANELLE MORGAN,,(303) 394-4526,DANELLE@NPRECO.COM,PORCHLIGHT REAL ESTATE GROUP,838 BROADWAY DENVER CO 80203 US,(303) 733-5335,INFO@PORCHLIGHTGROUP.COM,2019-03-08,A,1208349.0,203433.0,2019-03-11,1.0,,2019-03-08,2019-03-08,2019-01-10
248097997,7668305645,1725097990,201905252019061200659731630000000006,23049014,65973163,9286944,1097788119,05035-13-014-000,08031,SFR,,1742.0,866.0,OTHER-RANCH/1 STORY,"FORCED AIR, GAS",AIR CONDITIONING-CENTRAL,1.000000000000000,1909.0,ROLLED ROOFING,"BRICK, FRAME, STUCCO",2.0,1.0,,NONE (0 SPACES),,404.0,,"CABLE AVAILABLE, FULLY FURNISHED",,,,LEVEL/FLAT,C-MX-5,,DENVER 1,GREENLEE,COMPASS ACADEMY,WEST,"DISHWASHER, DRYER, GARBAGE DISPOSER, MICROWAVE OVEN, REFRIGERATOR (KITCHEN), SMOKE ALARM, STOVE/RANGE/OVEN, WASHER",,PUBLIC,2019-05-25,18.0,2019-05-25,UNKNOWN,UNKNOWN,,,349900.0,,,,,,,,,,,,,,,,,,,,,HASAN AL-MABUK,,(319) 504-2623,,RESIDENT REALTY SOUTH METRO,,,,2019-06-12,A,1284390.0,115318.0,2019-06-13,1.0,,2019-05-25,2019-06-12,2019-05-25
249551426,7692548251,1725097990,201905252019062000659731630000000007,23049014,65973163,9286944,1097788119,05035-13-014-000,08031,SFR,,1742.0,866.0,"OTHER-RANCH/1 STORY, RANCH/1 STORY","FORCED AIR, GAS",AIR CONDITIONING-CENTRAL,1.000000000000000,1909.0,ROLLED ROOFING,"BRICK, FRAME, STUCCO",2.0,1.0,,NONE (0 SPACES),,404.0,,"CABLE AVAILABLE, CABLE AVAILABLE FULLY FURNISHED, FULLY FURNISHED",,,,LEVEL/FLAT,C-MX-5,,DENVER 1,GREENLEE,COMPASS ACADEMY,WEST,"DISHWASHER, DISHWASHER DISPOSAL DRYER MICROWAVE OVEN REFRIGERATOR (KITCHEN) SMOKE ALARM STOVE/RANGE/OVEN WASHER, DRYER, GARBAGE DISPOSER, MICROWAVE OVEN, REFRIGERATOR (KITCHEN), SMOKE ALARM, STOVE/RANGE/OVEN, WASHER",,PUBLIC,2019-05-25,26.0,2019-05-25,UNKNOWN,UNKNOWN,,,349900.0,,,,,,,,,,,,,,,,,,,,,HASAN AL-MABUK,,(319) 504-2623,,RESIDENT REALTY SOUTH METRO,,,,2019-06-20,A,1290405.0,104216.0,2019-06-21,1.0,,2019-05-25,2019-06-20,2019-05-25
